municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Seraing,Seraing,Jemeppe,,,,,47,25,,72
Seraing,Seraing,Ougree,,,,,1,10,47,58
Seraing,Seraing,Seraing,,,,,92,31,61,184
Soumagne,Soumagne,Ayeneux,,,,,,17,,17
Soumagne,Soumagne,Cérexhe-Heuseux,,1,,,,15,,16
Soumagne,Soumagne,Evegnée,,2,,,,7,,9
Soumagne,Soumagne,Melen,,,,,,20,,20
Soumagne,Soumagne,Micheroux,,,,,,9,,9
Soumagne,Soumagne,Soumagne,,,,,,50,,50
Spa,Spa,Spa,,143,,,,,,143
Sprimont,Sprimont,Dolembreux,,,,,,,20,20
Sprimont,Sprimont,Gomzé-Andoumont,,,,,,,15,15
Sprimont,Sprimont,Louveigné,,1,,,,,7,8
Sprimont,Sprimont,Rouvreux,,,,,,,12,12
Sprimont,Sprimont,Sprimont,,,,,,,67,67
Stavelot,Stavelot,Francorchamps,,9,,,,,,9
Stavelot,Stavelot,Stavelot,,74,,,,,2,76
Stoumont,Stoumont,Chevron,,19,,1,,,,20
Stoumont,Stoumont,La Gleize,,33,,,,,,33
Stoumont,Stoumont,Lorcé,,5,,,,,,5
Stoumont,Stoumont,Rahier,,10,,,,,,10
Stoumont,Stoumont,Stoumont,,13,,,,,,13
Theux,Theux,La Reid,,21,,,,,50,71
Theux,Theux,Polleur,,,,,,,37,37
Theux,Theux,Theux,,25,,,,,54,79
Thimister-Clermont,Thimister-Clermont,Clermont,,47,,,,,,47
Thimister-Clermont,Thimister-Clermont,Thimister,,82,,,,,,82
Tinlot,Tinlot,Abée,,,,,,,18,18
Tinlot,Tinlot,Fraiture,,,,,,,7,7
Tinlot,Tinlot,Ramelot,,,,,,,2,2
Tinlot,Tinlot,Seny,,,,,,,7,7
Tinlot,Tinlot,Soheit-Tinlot,,,,,,,14,14
Trois-Ponts,Trois-Ponts,Basse-Bodeux,,16,,,,,,16
Trois-Ponts,Trois-Ponts,Fosse,,42,,,,,,42
Trois-Ponts,Trois-Ponts,Wanne,,21,,,,,,21
Trooz,Trooz,Forêt,,,,,,47,1,48
Trooz,Trooz,Fraipont,,3,,,,1,2,6
Trooz,Trooz,Nessonvaux,,,,,,11,,11
Verlaine,Verlaine,Bodegnee-Rogeree-Centre,,,,,6,,,6
Verlaine,Verlaine,Chapon-Seraing,,,,,8,,,8
Verlaine,Verlaine,Seraing-le-Château,,,,,4,,,4
Verlaine,Verlaine,Verlaine,,,,,29,,,29
Verviers,Verviers,Beau-Vallon,,,,,,,26,26
Verviers,Verviers,Ensival,,,,,,,41,41
Verviers,Verviers,Heusy,,,,,,,53,53
Verviers,Verviers,Lambermont,,1,,,,,30,31
Verviers,Verviers,Petit-Rechain,,1,,,,,57,58
Verviers,Verviers,Stembert,,,,,,,57,57
Verviers,Verviers,Verviers,,,,,,,185,185
Villers-le-Bouillet,Villers-le-Bouillet,Fize-Fontaine,,,,,6,,,6
Villers-le-Bouillet,Villers-le-Bouillet,Vaux-et-Borset,,,,,10,,,10
Villers-le-Bouillet,Villers-le-Bouillet,Vieux-Waleffe,,,,,2,,,2
Villers-le-Bouillet,Villers-le-Bouillet,Villers-le-Bouillet,,,,,48,,,48
Villers-le-Bouillet,Villers-le-Bouillet,Warnant-Dreye,,,,,10,,,10
Visé,Visé,Argenteau,,13,,,,,,13
Visé,Visé,Cheratte,,25,,,,,,25
Visé,Visé,Lanaye,,5,,,,,,5
Visé,Visé,Lixhe,,11,,,,,,11
Visé,Visé,Richelle,,8,,,,,,8
Visé,Visé,Visé,,61,,,,,,61
Waimes,Waimes (Weismes),Faymonville,,9,,,,,,9
Waimes,Waimes (Weismes),Robertville,,,,,,,54,54
Waimes,Waimes (Weismes),Waimes,,35,,,,,55,90
Wanze,Wanze,Antheit,,,,,23,,,23
Wanze,Wanze,Bas-Oha,,,,8,6,,,14
Wanze,Wanze,Huccorgne,,,,16,,,,16
Wanze,Wanze,Moha,,,,6,12,,,18
Wanze,Wanze,Vinalmont,,,,,16,,,16
Wanze,Wanze,Wanze,,,,5,23,,1,29
Waremme,Waremme,Bettincourt,,,,,3,,,3
Waremme,Waremme,Bleret,,,,,3,,,3
Waremme,Waremme,Bovenistier,,,,,5,,,5
Waremme,Waremme,Grand-Axhe,,,,,3,,,3
Waremme,Waremme,Lantremange,,,,,5,,,5
Waremme,Waremme,Oleye,,,,,12,,,12
Waremme,Waremme,Waremme,,,,,101,,,101
Wasseiges,Wasseiges,Acosse,,,,2,,,,2
Wasseiges,Wasseiges,Ambresin,,,,,6,,,6
Wasseiges,Wasseiges,Meeffe,,,,6,,,,6
Wasseiges,Wasseiges,Wasseiges,,,,4,8,,,12
Welkenraedt,Welkenraedt,Henri-Chapelle,,16,,,,,23,39
Welkenraedt,Welkenraedt,Welkenraedt,,1,,,,,59,60
Alken,Alken,Alken,,,,,,,79,79
As,As,As,,,,,,35,2,37
As,As,Niel-bij-As,,,,,,12,,12
Beringen,Beringen,Beringen,,58,,,,,,58
Beringen,Beringen,Beverlo,,26,,,,,,26
Beringen,Beringen,Koersel,,55,,,,,,55
Beringen,Beringen,Paal,,4,,,,,69,73
Bilzen,Bilzen,Beverst,,,,,,19,,19
Bilzen,Bilzen,Bilzen,,,,,,76,,76
Bilzen,Bilzen,Eigenbilzen,,,,,,8,3,11
Bilzen,Bilzen,Grote-Spouwen,,,,,,,4,4
Bilzen,Bilzen,Hees,,,,,,,2,2
Bilzen,Bilzen,Hoelbeek,,,,,,2,,2
Bilzen,Bilzen,Kleine-Spouwen,,,,,,1,4,5
Bilzen,Bilzen,Martenslinde,,,,,,4,,4
Bilzen,Bilzen,Mopertingen,,,,,,2,2,4
Bilzen,Bilzen,Munsterbilzen,,,,,,24,,24
Bilzen,Bilzen,Rijkhoven,,,,,,6,,6
Bilzen,Bilzen,Rosmeer,,,,,,,5,5
Bilzen,Bilzen,Waltwilder,,,,,,5,,5
Bocholt,Bocholt,Bocholt,,,,67,,,,67
Bocholt,Bocholt,Kaulille,,,,28,,,,28
Bocholt,Bocholt,Reppel,,,,7,,,,7
Borgloon,Borgloon,Bommershoven,,,,,,,6,6
Borgloon,Borgloon,Borgloon,,,,,,,31,31
Borgloon,Borgloon,Broekom,,,,,,,4,4
Borgloon,Borgloon,Gors-Opleeuw,,,,,,,4,4
Borgloon,Borgloon,Gotem,,,,,,,1,1
Borgloon,Borgloon,Groot-Loon,,,,,,,1,1
Borgloon,Borgloon,Hendrieken,,,,,,,1,1
Borgloon,Borgloon,Hoepertingen,,,,,,,20,20
Borgloon,Borgloon,Jesseren,,,,,,,5,5
Borgloon,Borgloon,Kerniel,,,,,,,5,5
Borgloon,Borgloon,Kuttekoven,,,,,,,2,2
Borgloon,Borgloon,Rijkel,,,,,,,3,3
Borgloon,Borgloon,Voort,,,,,,,3,3
Bree,Bree,Bree,,,,117,,3,,120
Bree,Bree,Opitter,,,,4,,5,,9
Bree,Bree,Tongerlo,,,,5,,2,,7
Diepenbeek,Diepenbeek,Diepenbeek,,,,,,26,90,116
Dilsen-Stokkem,Dilsen-Stokkem,Dilsen,,,,,,39,,39
Dilsen-Stokkem,Dilsen-Stokkem,Elen,,,,,,12,,12
Dilsen-Stokkem,Dilsen-Stokkem,Lanklaar,,,,,,53,,53
Dilsen-Stokkem,Dilsen-Stokkem,Rotem,,,,,,21,,21
Dilsen-Stokkem,Dilsen-Stokkem,Stokkem,,,,,,17,,17
Genk,Genk,Genk,,,,,,,438,438
Genk,Genk,Waterschei-Zwartberg,,,,,,,113,113
Gingelom,Gingelom,Boekhout,,,,,,,1,1
Gingelom,Gingelom,Borlo,,,,,,,4,4
Gingelom,Gingelom,Buvingen,,,,,,,1,1
Gingelom,Gingelom,Gingelom,,,,,,,5,5
Gingelom,Gingelom,Jeuk,,,,,,,11,11
Gingelom,Gingelom,Kortijs,,,,,,,2,2
Gingelom,Gingelom,Mielen-Boven-Aalst,,,,,,,4,4
Gingelom,Gingelom,Montenaken,,,,,,,6,6
Gingelom,Gingelom,Muizen,,,,,,,1,1
Gingelom,Gingelom,Niel-bij-Sint-Truiden,,,,,,,5,5
Gingelom,Gingelom,Vorsen,,,,,,,2,2
Halen,Halen,Halen,,,,,,,60,60
Halen,Halen,Zelem,,,,,,,17,17
Ham,Ham,Kwaadmechelen,,,,,,,41,41
Ham,Ham,Oostham,,,,,,,27,27
Hamont-Achel,Hamont-Achel,Achel,,,,35,,,,35
Hamont-Achel,Hamont-Achel,Hamont,,,,74,,,,74
Hasselt,Hasselt,Hasselt,,1,,,,,434,435
Hasselt,Hasselt,Kermt,,,,,,,16,16
Hasselt,Hasselt,Kuringen,,,,,,,51,51
Hasselt,Hasselt,Sint-Lambrechts-Herk,,,,,,,27,27
Hasselt,Hasselt,Spalbeek,,,,,,,9,9
Hasselt,Hasselt,Stevoort,,,,,,,23,23
Hasselt,Hasselt,Stokrooie,,,,,,,7,7
Hasselt,Hasselt,Wimmertingen,,,,,,,1,1
Hechtel-Eksel,Hechtel-Eksel,Eksel,,34,,4,,,,38
Hechtel-Eksel,Hechtel-Eksel,Hechtel,,34,,,,,,34
Heers,Heers,Batsheers,,,,,,,1,1
Heers,Heers,Gutschoven,,,,,,,3,3
Heers,Heers,Heers,,,,,,,11,11
Heers,Heers,Heks,,,,,,,1,1
Heers,Heers,Horpmaal,,,,,,,2,2
Heers,Heers,Klein-Gelmen,,,,,,,4,4
Heers,Heers,Mechelen-Bovelingen,,,,,,,5,5
Heers,Heers,Mettekoven,,,,,,,1,1
Heers,Heers,Opheers,,,,,,,2,2
Heers,Heers,Rukkelingen-Loon,,,,,,,2,2
Heers,Heers,Vechmaal,,,,,,,3,3
Heers,Heers,Veulen,,,,,,,2,2
Herk-de-Stad,Herk-de-Stad,Berbroek,,,,,,,9,9
Herk-de-Stad,Herk-de-Stad,Donk,,,,,,,11,11
Herk-de-Stad,Herk-de-Stad,Herk-de-Stad,,,,,,,52,52
Herk-de-Stad,Herk-de-Stad,Schulen,,,,,,,14,14
Herstappe,Herstappe,Herstappe,,,,,,,1,1
Heusden-Zolder,Heusden-Zolder,Heusden,,59,,,,,,59
Heusden-Zolder,Heusden-Zolder,Zolder,,125,,,,,,125
Hoeselt,Hoeselt,Hoeselt,,,,,,51,,51
Hoeselt,Hoeselt,Romershoven,,,,,,5,,5
Hoeselt,Hoeselt,Schalkhoven,,,,,,,1,1
Hoeselt,Hoeselt,Sint-Huibrechts-Hern,,,,,,,5,5
Hoeselt,Hoeselt,Werm,,,,,,,4,4
Houthalen-Helchteren,Houthalen-Helchteren,Helchteren,,36,,,,,,36
Houthalen-Helchteren,Houthalen-Helchteren,Houthalen,,133,,,,,30,163
Kinrooi,Kinrooi,Kessenich,,,,,,12,,12
Kinrooi,Kinrooi,Kinrooi,,,,,,21,,21
Kinrooi,Kinrooi,Molenbeersel,,,,6,,24,,30
Kinrooi,Kinrooi,Ophoven,,,,,,27,,27
Kortessem,Kortessem,Guigoven,,,,,,4,,4
Kortessem,Kortessem,Kortessem,,,,,,,26,26
Kortessem,Kortessem,Vliermaal,,,,,,6,6,12
Kortessem,Kortessem,Vliermaalroot,,,,,,8,,8
Kortessem,Kortessem,Wintershoven,,,,,,3,1,4
Lanaken,Lanaken,Gellik,,,,,,,11,11
Lanaken,Lanaken,Lanaken,,,,,,,92,92
Lanaken,Lanaken,Neerharen,,,,,,1,4,5
Lanaken,Lanaken,Rekem,,,,,,5,18,23
Lanaken,Lanaken,Veldwezelt,,,,,,,16,16
Leopoldsburg,Leopoldsburg,Heppen,,18,,,,,2,20
Leopoldsburg,Leopoldsburg,Leopoldsburg,,54,,,,,,54
Lommel,Lommel,Lommel,,,,221,,,1,222
Lummen,Lummen,Linkhout,,,,,,,11,11
Lummen,Lummen,Lummen,,76,,,,,10,86
Lummen,Lummen,Meldert,,,,,,,14,14
Maaseik,Maaseik,Maaseik,,,,,,102,,102
Maaseik,Maaseik,Neeroeteren,,,,,,47,,47
Maaseik,Maaseik,Opoeteren,,,,,,14,,14
Maasmechelen,Maasmechelen,Boorsem,,,,,,23,,23
Maasmechelen,Maasmechelen,Eisden,,,,,,59,,59
Maasmechelen,Maasmechelen,Leut,,,,,,7,,7
Maasmechelen,Maasmechelen,Maasmechelen,,,,,,75,,75
Maasmechelen,Maasmechelen,Meeswijk,,,,,,4,,4
Maasmechelen,Maasmechelen,Opgrimbie,,,,,,30,3,33
Maasmechelen,Maasmechelen,Uikhoven,,,,,,6,,6
Maasmechelen,Maasmechelen,Vucht,,,,,,11,,11
Meeuwen-Gruitrode,Meeuwen-Gruitrode,Ellikom,,,,8,,,,8
Meeuwen-Gruitrode,Meeuwen-Gruitrode,Gruitrode,,,,16,,11,,27
Meeuwen-Gruitrode,Meeuwen-Gruitrode,Meeuwen,,,,28,,10,,38
Meeuwen-Gruitrode,Meeuwen-Gruitrode,Neerglabbeek,,,,4,,,,4
Meeuwen-Gruitrode,Meeuwen-Gruitrode,Wijshagen,,,,6,,2,1,9
Neerpelt,Neerpelt,Neerpelt,,,,62,,,,62
Neerpelt,Neerpelt,Sint-Huibrechts-Lille,,,,24,,,,24
Nieuwerkerken,Nieuwerkerken,Binderveld,,,,,,,5,5
Nieuwerkerken,Nieuwerkerken,Kozen,,,,,,,12,12
Nieuwerkerken,Nieuwerkerken,Nieuwerkerken,,,,,,,21,21
Nieuwerkerken,Nieuwerkerken,Wijer,,,,,,,9,9
Opglabbeek,Opglabbeek,Opglabbeek,,,,,,79,1,80
Overpelt,Overpelt,Overpelt,,1,,143,,,,144
Peer,Peer,Grote-Brogel,,22,,7,,,,29
Peer,Peer,Kleine-Brogel,,2,,7,,,,9
Peer,Peer,Peer,,76,,,,,,76
Peer,Peer,Wijchmaal,,15,,,,,,15
Riemst,Riemst,Genoelselderen,,,,,,,3,3
Riemst,Riemst,Herderen,,,,,,,9,9
Riemst,Riemst,Kanne,,,,,,,4,4
Riemst,Riemst,Membruggen,,,,,,,5,5
Riemst,Riemst,Millen,,,,,,,13,13
Riemst,Riemst,Riemst,,,,,,,15,15
Riemst,Riemst,Val-Meer,,,,,,,8,8
Riemst,Riemst,Vlijtingen,,,,,,,10,10
Riemst,Riemst,Vroenhoven,,,,,,,8,8
Riemst,Riemst,Zichen-Zussen-Bolder,,,,,,,16,16
Sint-Truiden,Sint-Truiden,Aalst,,,,,,,3,3
Sint-Truiden,Sint-Truiden,Brustem,,,,,,,20,20
Sint-Truiden,Sint-Truiden,Duras,,,,,,,1,1
Sint-Truiden,Sint-Truiden,Engelmanshoven,,,,,,,2,2
Sint-Truiden,Sint-Truiden,Gelinden,,,,,,,11,11
Sint-Truiden,Sint-Truiden,Gorsem,,,,,,,3,3
Sint-Truiden,Sint-Truiden,Groot-Gelmen,,,,,,,4,4
Sint-Truiden,Sint-Truiden,Halmaal,,,,,,,2,2
Sint-Truiden,Sint-Truiden,Kerkom-bij-Sint-Truiden,,,,,,,3,3
Sint-Truiden,Sint-Truiden,Ordingen,,,,,,,4,4
Sint-Truiden,Sint-Truiden,Runkelen,,,,,,,3,3
Sint-Truiden,Sint-Truiden,Sint-Truiden,,,,,,,197,197
Sint-Truiden,Sint-Truiden,Velm,,,,,,,13,13
Sint-Truiden,Sint-Truiden,Wilderen,,,,,,,8,8
Sint-Truiden,Sint-Truiden,Zepperen,,,,,,,25,25
Tessenderlo,Tessenderlo,Tessenderlo,,,,,,,159,159
Tongeren,Tongeren,Berg,,,,,,,20,20
Tongeren,Tongeren,Henis,,,,,,,3,3
Tongeren,Tongeren,Koninksem,,,,,,,2,2
Tongeren,Tongeren,Lauw,,,,,,,5,5
Tongeren,Tongeren,Mal,,,,,,,22,22
Tongeren,Tongeren,Neerrepen,,,,,,,1,1
Tongeren,Tongeren,Nerem,,,,,,,3,3
Tongeren,Tongeren,Overrepen,,,,,,,5,5
Tongeren,Tongeren,Piringen,,,,,,,4,4
Tongeren,Tongeren,Riksingen,,,,,,,3,3
Tongeren,Tongeren,Rutten,,,,,,,6,6
Tongeren,Tongeren,'s Herenelderen,,,,,,,2,2
Tongeren,Tongeren,Sluizen,,,,,,,2,2
Tongeren,Tongeren,Tongeren,,,,,,,124,124
Tongeren,Tongeren,Vreren,,,,,,,10,10
Tongeren,Tongeren,Widooie,,,,,,,3,3
Voeren,Voeren,Moelingen,,11,,,,,,11
Voeren,Voeren,Remersdaal,,17,,,,,,17
Voeren,Voeren,'s Gravenvoeren,,25,,,,,,25
Voeren,Voeren,Sint-Martens-Voeren,,23,,,,,,23
Voeren,Voeren,Sint-Pieters-Voeren,,4,,,,,,4
Voeren,Voeren,Teuven,,16,,,,,,16
Wellen,Wellen,Berlingen,,,,,,,4,4
Wellen,Wellen,Herten,,,,,,,6,6
Wellen,Wellen,Ulbeek,,,,,,,7,7
Wellen,Wellen,Wellen,,,,,,,35,35
Zonhoven,Zonhoven,De Dry Dreven,,5,,,,,,5
Zonhoven,Zonhoven,Zonhoven,,92,,,,,1,93
Zutendaal,Zutendaal,Zutendaal,,,,,,3,45,48
Arlon,Arlon,Arlon,,,,,,,94,94
Arlon,Arlon,Autelbas,3,,,,,,40,43
Arlon,Arlon,Bonnert,,,,,,,40,40
Arlon,Arlon,Guirsch,,,,,,,6,6
Arlon,Arlon,Heinsch,,,,,,,52,52
Arlon,Arlon,Toernich,,,,,,,21,21
Attert,Attert,Attert,,,,,,,21,21
Attert,Attert,Nobressart,,,,,,,16,16
Attert,Attert,Nothomb,,,,,,,11,11
Attert,Attert,Thiaumont,,,,,,,12,12
Attert,Attert,Tontelange,,,,,,,8,8
Aubange,Aubange,Athus,34,,,,,,,34
Aubange,Aubange,Aubange,31,,,,,,,31
Aubange,Aubange,Halanzy,29,,,,,,,29
Aubange,Aubange,Rachecourt,6,,,,,,,6
Bastogne,Bastogne,Bastogne,,,,,,,89,89
Bastogne,Bastogne,Longvilly,,,,,,,20,20
Bastogne,Bastogne,Noville,,8,,,,,29,37
Bastogne,Bastogne,Villers-la-Bonne-Eau,,,,,,,24,24
Bastogne,Bastogne,Wardin,,,,,,,49,49
Bertogne,Bertogne,Bertogne,,,,,,,13,13
Bertogne,Bertogne,Flamierge,17,,,,,,14,31
Bertogne,Bertogne,Longchamps,,,,,,,39,39
Bertrix,Bertrix,Auby-Sur-Semois,14,,,,,,,14
Bertrix,Bertrix,Bertrix,71,,,,,,,71
Bertrix,Bertrix,Cugnon,10,,,,,,,10
Bertrix,Bertrix,Jehonville,21,,,,,,,21
Bertrix,Bertrix,Orgeo,26,,,,,,,26
Bouillon,Bouillon,Bellevaux,5,,,,,,,5
Bouillon,Bouillon,Bouillon,33,,,,,,,33
Bouillon,Bouillon,Corbion,7,,,,,,,7
Bouillon,Bouillon,Dohan,4,,,,,,,4
Bouillon,Bouillon,Les Hayons,9,,,,,,,9
Bouillon,Bouillon,Noirefontaine,9,,,,,,,9
Bouillon,Bouillon,Poupehan,7,,,,,,,7
Bouillon,Bouillon,Rochehaut,18,,,,,,,18
Bouillon,Bouillon,Sensenruth,12,,,,,,,12
Bouillon,Bouillon,Ucimont,9,,,,,,,9
Bouillon,Bouillon,Vivy,10,,,,,,,10
Chiny,Chiny,Chiny,24,,,,,,,24
Chiny,Chiny,Izel,41,,,,,,,41
Chiny,Chiny,Jamoigne,20,,,,,,,20
Chiny,Chiny,Les Bulles,10,,,,,,,10
Chiny,Chiny,Suxy,7,,,,,,,7
Chiny,Chiny,Termes,8,,,,,,,8
Daverdisse,Daverdisse,Daverdisse,,,5,,,,,5
Daverdisse,Daverdisse,Gembes,6,,,,,,,6
Daverdisse,Daverdisse,Haut-Fays,7,,11,,,,,18
Daverdisse,Daverdisse,Porcheresse,5,,,,,,,5
Durbuy,Durbuy,Barvaux,,,,50,,,,50
Durbuy,Durbuy,Bende,,,,,,,3,3
Durbuy,Durbuy,Bomal,,,,30,,,,30
Durbuy,Durbuy,Borlon,,,,7,,,,7
Durbuy,Durbuy,Durbuy,,,,16,,,,16
Durbuy,Durbuy,Grandhan,,,,33,,,,33
Durbuy,Durbuy,Heyd,,,,15,,,,15
Durbuy,Durbuy,Izier,,,,16,,,,16
Durbuy,Durbuy,Septon,,,,16,,,,16
Durbuy,Durbuy,Tohogne,,,,25,,,,25
Durbuy,Durbuy,Villers-Sainte-Gertrude,,,,4,,,,4
Durbuy,Durbuy,Wéris,,,,18,,,,18
Erezée,Érezée,Amonines,,,,7,,,,7
Erezée,Érezée,Erezée,,,,20,,,,20
Erezée,Érezée,Mormont,,,,10,,,,10
Erezée,Érezée,Soy,,,,34,,,,34
Etalle,Étalle,Buzenol,2,,,,,,,2
Etalle,Étalle,Chantemelle,,,,,,,4,4
Etalle,Étalle,Etalle,21,,,,,,,21
Etalle,Étalle,Sainte-Marie,16,,,,,,,16
Etalle,Étalle,Vance,,,,,,,10,10
Etalle,Étalle,Villers-sur-Semois,2,,,,,,,2
Fauvillers,Fauvillers,Fauvillers,1,,,,,,19,20
Fauvillers,Fauvillers,Hollange,,,,,,,29,29
Fauvillers,Fauvillers,Tintange,,,,,,,9,9
Florenville,Florenville,Chassepierre,13,,,,,,,13
Florenville,Florenville,Florenville,30,,,,,,,30
Florenville,Florenville,Fontenoille,4,,,,,,,4
Florenville,Florenville,Lacuisine,19,,,,,,,19
Florenville,Florenville,Muno,24,,,,,,,24
Florenville,Florenville,Sainte-Cécile,17,,,,,,,17
Florenville,Florenville,Villers-devant-Orval,17,,,,,,,17
Gouvy,Gouvy,Beho,,22,,,,,,22
Gouvy,Gouvy,Bovigny,,31,,,,,,31
Gouvy,Gouvy,Cherain,,6,,,,,,6
Gouvy,Gouvy,Limerlé,,52,,,,,,52
Gouvy,Gouvy,Montleban,,13,,,,,,13
Habay,Habay,Anlier,4,,,,,,,4
Habay,Habay,Habay-la-Neuve,27,,,,,,,27
Habay,Habay,Habay-la-Vieille,17,,,,,,,17
Habay,Habay,Hachy,12,,,,,,,12
Habay,Habay,Houdemont,5,,,,,,,5
Habay,Habay,Rulles,29,,,,,,,29
Herbeumont,Herbeumont,Herbeumont,14,,,,,,,14
Herbeumont,Herbeumont,Saint-Médard,11,,,,,,,11
Herbeumont,Herbeumont,Straimont,11,,,,,,,11
Hotton,Hotton,Fronville,,,,14,,,,14
Hotton,Hotton,Hampteau,,,,12,,,,12
Hotton,Hotton,Hotton,,,,52,,,,52
Hotton,Hotton,Marenne,,,,16,,,,16
Houffalize,Houffalize,Houffalize,,16,,,,,,16
Houffalize,Houffalize,Mabompré,,1,,,,,28,29
Houffalize,Houffalize,Mont,,28,,,,,,28
Houffalize,Houffalize,Nadrin,,18,,6,,,,24
Houffalize,Houffalize,Tailles,,,,11,,,,11
Houffalize,Houffalize,Tavigny,,30,,,,,,30
Houffalize,Houffalize,Wibrin,,21,,,,,,21
La Roche-en-Ardenne,La Roche-en-Ardenne,Beausaint,,,,21,,,,21
La Roche-en-Ardenne,La Roche-en-Ardenne,Halleux,,,,8,,,,8
La Roche-en-Ardenne,La Roche-en-Ardenne,Hives,11,,,,,,,11
La Roche-en-Ardenne,La Roche-en-Ardenne,La Roche-en-Ardenne,,,,48,,,,48
La Roche-en-Ardenne,La Roche-en-Ardenne,Ortho,14,44,,,,,,58
La Roche-en-Ardenne,La Roche-en-Ardenne,Samrée,,,,23,,,,23
Léglise,L'Église,Assenois,21,,,,,,,21
Léglise,L'Église,Ebly,5,,,,,,,5
Léglise,L'Église,Léglise,28,,,,,,,28
Léglise,L'Église,Mellier,13,,,,,,,13
Léglise,L'Église,Witry,8,,,,,,3,11
Libin,Libin,Anloy,11,,,,,,,11
Libin,Libin,Libin,31,,,,,,,31
Libin,Libin,Ochamps,20,,,,,,,20
Libin,Libin,Redu,,,12,,,,,12
Libin,Libin,Smuid,7,,,,,,,7
Libin,Libin,Transinne,16,,1,,,,,17
Libin,Libin,Villance,22,,,,,,,22
Libramont-Chevigny,Libramont-Chevigny,Bras-Bas,28,,,,,,,28
Libramont-Chevigny,Libramont-Chevigny,Freux,16,,,,,,,16
Libramont-Chevigny,Libramont-Chevigny,Libramont,28,,,,,,,28
Libramont-Chevigny,Libramont-Chevigny,Moircy,11,,,,,,,11
Libramont-Chevigny,Libramont-Chevigny,Recogne,39,,,,,,,39
Libramont-Chevigny,Libramont-Chevigny,Remagne,11,,,,,,,11
Libramont-Chevigny,Libramont-Chevigny,Sainte-Marie-Chevigny,18,,,,,,,18
Libramont-Chevigny,Libramont-Chevigny,Saint-Pierre,25,,,,,,,25
Manhay,Manhay,Dochamps,,,,28,,,,28
Manhay,Manhay,Grandmenil,,1,,22,,,,23
Manhay,Manhay,Harre,,,,30,,,,30
Manhay,Manhay,Malempré,,,,6,,,,6
Manhay,Manhay,Odeigne,,,,15,,,,15
Manhay,Manhay,Vaux-Chavanne,,,,16,,,,16
Marche-en-Famenne,Marche-en-Famenne,Aye,19,,,26,,,,45
Marche-en-Famenne,Marche-en-Famenne,Hargimont,10,,,,,,,10
Marche-en-Famenne,Marche-en-Famenne,Humain,13,,,,,,,13
Marche-en-Famenne,Marche-en-Famenne,Marche-en-Famenne,,,,69,,,,69
Marche-en-Famenne,Marche-en-Famenne,On,21,,,,,,,21
Marche-en-Famenne,Marche-en-Famenne,Roy,15,,,,,,,15
Marche-en-Famenne,Marche-en-Famenne,Waha,19,,,53,,,,72
Martelange,Martelange,Martelange,,,,,,,27,27
Meix-Devant-Virton,Meix-devant-Virton,Gérouville,7,,,,,,,7
Meix-Devant-Virton,Meix-devant-Virton,Meix-Devant-Virton,12,,,,,,,12
Meix-Devant-Virton,Meix-devant-Virton,Robelmont,7,,,,,,,7
Meix-Devant-Virton,Meix-devant-Virton,Sommethonne,9,,,,,,,9
Meix-Devant-Virton,Meix-devant-Virton,Villers-la-Loue,13,,,,,,,13
Messancy,Messancy,Habergy,9,,,,,,,9
Messancy,Messancy,Hondelange,13,,,,,,,13
Messancy,Messancy,Messancy,50,,,,,,,50
Messancy,Messancy,Sélange,8,,,,,,,8
Messancy,Messancy,Wolkrange,9,,,,,,9,18
Musson,Musson,Musson,33,,,,,,,33
Musson,Musson,Mussy-la-Ville,21,,,,,,,21
Nassogne,Nassogne,Ambly,10,,,,,,,10
Nassogne,Nassogne,Bande,12,,,,,,,12
Nassogne,Nassogne,Forrieres,21,,,,,,,21
Nassogne,Nassogne,Grune,14,,,,,,,14
Nassogne,Nassogne,Harsin,17,,,,,,,17
Nassogne,Nassogne,Lesterny,6,,,,,,,6
Nassogne,Nassogne,Masbourg,9,,,,,,,9
Nassogne,Nassogne,Nassogne,36,,,,,,,36
Neufchâteau,Neufchâteau,Grandvoir,6,,,,,,,6
Neufchâteau,Neufchâteau,Grapfontaine,16,,,,,,,16
Neufchâteau,Neufchâteau,Hamipre,21,,,,,,,21
Neufchâteau,Neufchâteau,Longlier,33,,,,,,,33
Neufchâteau,Neufchâteau,Neufchâteau,35,,,,,,,35
Neufchâteau,Neufchâteau,Tournay,16,,,,,,,16
Paliseul,Paliseul,Carlsbourg,20,,,,,,,20
Paliseul,Paliseul,Fays-les-Veneurs,17,,,,,,,17
Paliseul,Paliseul,Framont,5,,,,,,,5
Paliseul,Paliseul,Maissin,9,,,,,,,9
Paliseul,Paliseul,Nollevaux,12,,,,,,,12
Paliseul,Paliseul,Offagne,12,,,,,,,12
Paliseul,Paliseul,Opont,23,,,,,,,23
Paliseul,Paliseul,Paliseul,34,,,,,,,34
Rendeux,Rendeux,Beffe,,,,22,,,,22
Rendeux,Rendeux,Hodister,,,,19,,,,19
Rendeux,Rendeux,Marcourt,,,,14,,,,14
Rendeux,Rendeux,Rendeux,,,,28,,,,28
Rouvroy,Rouvroy,Dampicourt,10,,,,,,,10
Rouvroy,Rouvroy,Harnoncourt,6,,,,,,,6
